last_name,first_name,player_id,year,player_age,p_formatted_ip,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Ramirez, Erasmo,541640,2022,32,86.1,.247,.366,.291,.291,.119,88.7,11.9,4.9,
Bethancourt, Christian,542194,2022,30,4.0,.318,.539,.385,.354,.221,88.9,25.9,5.9,
Cisnero, Jose,542585,2022,33,25.0,.216,.281,.307,.365,.065,85.7,12.2,0,
Anderson, Tyler,542881,2022,32,178.2,.225,.350,.275,.272,.124,85,16.9,4.9,
Armstrong, Shawn,542888,2022,31,61.2,.227,.356,.282,.288,.129,87.4,10.6,7.7,
Bass, Anthony,542914,2022,34,70.1,.219,.336,.272,.276,.117,87.6,14.3,6,
Bleier, Richard,542947,2022,35,50.2,.273,.394,.302,.308,.121,89.6,4.3,4.5,
Cole, Gerrit,543037,2022,31,200.2,.214,.383,.284,.266,.169,89.4,12.6,9.5,
Coulombe, Danny,543056,2022,32,12.1,.196,.248,.274,.329,.052,83.8,13.9,0,
DeSclafani, Anthony,543101,2022,32,19.0,.297,.479,.357,.338,.181,91.6,14,6.9,
Eovaldi, Nathan,543135,2022,32,109.1,.258,.449,.321,.292,.191,89.7,10.7,10.7,
Gose, Anthony,543238,2022,31,21.0,.208,.465,.344,.335,.257,92.9,23.4,22.4,
Gray, Sonny,543243,2022,32,119.2,.240,.366,.298,.305,.126,88.1,12.1,5.5,
Hand, Brad,543272,2022,32,45.0,.232,.367,.324,.349,.135,87.2,14.3,5.3,
Harrison, Josh,543281,2022,34,3.0,.311,.477,.377,.388,.166,90.1,15.8,7.1,
Hendricks, Kyle,543294,2022,32,84.1,.270,.466,.345,.326,.196,87.5,16.5,9.9,
Hudson, Daniel,543339,2022,35,24.1,.215,.300,.259,.272,.086,88.3,8.3,3.3,
Lyles, Jordan,543475,2022,31,179.0,.267,.452,.341,.325,.184,88.6,15.3,10.4,
May, Trevor,543507,2022,32,25.0,.226,.386,.297,.288,.161,89.4,19.5,9.7,
McHugh, Collin,543521,2022,35,69.1,.223,.341,.273,.276,.117,86.6,15.3,5.1,
Milone, Tommy,543548,2022,35,16.2,.283,.483,.356,.347,.200,87.6,23.4,7,
Odorizzi, Jake,543606,2022,32,106.1,.255,.398,.314,.316,.143,87.8,19.8,7.3,
Shaw, Bryan,543766,2022,34,58.1,.258,.420,.335,.342,.162,90.8,8.3,6.7,
Weber, Ryan,543901,2022,31,10.2,.303,.443,.332,.322,.140,90,6.3,6.1,
Banuelos, Manny,544365,2022,31,41.0,.230,.325,.299,.335,.095,85.6,7.2,3.7,
Familia, Jeurys,544727,2022,32,44.1,.267,.418,.339,.353,.151,90.8,7.5,10.1,
Strasburg, Stephen,544931,2022,33,4.2,.238,.415,.336,.338,.177,86.6,16.2,6.7,
Head, Louis,545343,2022,32,28.2,.244,.390,.332,.354,.146,91,18.2,5.5,
Poteet, Cody,547001,2022,27,28.0,.266,.427,.335,.338,.161,91.3,6.9,6.1,
Lorenzen, Michael,547179,2022,30,97.2,.233,.362,.307,.322,.129,88.1,9.7,6.8,
Kelly, Michael,547184,2022,29,4.0,.251,.372,.324,.344,.122,83.5,29.5,10,
Ryu, Hyun Jin,547943,2022,35,27.0,.290,.502,.350,.315,.212,91.1,11.2,9.7,
Chapman, Aroldis,547973,2022,34,36.1,.213,.360,.326,.355,.147,87.5,16.6,6.9,
Raley, Brooks,548384,2022,34,53.2,.207,.288,.261,.283,.081,86.7,12.3,2.2,
Stripling, Ross,548389,2022,32,134.1,.251,.395,.294,.281,.144,88.9,12.2,9.2,
Kittredge, Andrew,552640,2022,32,20.0,.213,.387,.268,.234,.175,88.4,11.5,8.5,
Garcia, Yimi,554340,2022,31,61.0,.208,.338,.266,.270,.130,86.5,18.9,6.5,
Wheeler, Zack,554430,2022,32,153.0,.226,.343,.275,.278,.117,85.9,11.4,7.7,
Matzek, Tyler,554431,2022,31,43.2,.216,.363,.319,.346,.148,88.9,20.5,7.7,
Rodriguez, Joely,570257,2022,30,50.1,.228,.327,.296,.325,.099,85.3,5,3.8,
Valdez, Phillips,570488,2022,30,16.1,.220,.316,.316,.358,.097,87.4,8.3,4.3,
Urena, Jose,570632,2022,30,97.0,.271,.428,.341,.345,.157,88.2,7.3,6.8,
Robles, Hansel,570663,2022,31,24.2,.275,.519,.383,.369,.244,92.7,13.1,11.8,
Cessa, Luis,570666,2022,30,80.2,.253,.429,.325,.317,.176,89.7,8.4,9.3,
Alvarez, R.J.,571439,2022,31,2.1,.371,.953,.583,.516,.582,89.7,17.9,25,
Appel, Mark,571446,2022,30,10.1,.241,.313,.276,.298,.072,91.5,6.4,6.3,
Bellatti, Andrew,571479,2022,30,54.1,.207,.359,.297,.301,.152,88.3,20.2,12.7,
Boyd, Matthew,571510,2022,31,13.1,.188,.269,.257,.328,.081,82.3,15.8,3.2,
Corbin, Patrick,571578,2022,32,152.2,.304,.520,.381,.359,.216,90.8,11.5,11,
Farmer, Buck,571656,2022,31,47.0,.212,.324,.292,.317,.112,88.2,14.4,5,
Floro, Dylan,571670,2022,31,53.2,.232,.344,.273,.284,.112,87.4,8.6,5.1,
Giles, Ken,571704,2022,31,4.1,.179,.234,.268,.324,.056,92.9,15,12.5,
Givens, Mychal,571710,2022,32,61.1,.226,.372,.299,.314,.146,87.6,11.9,8.2,
Heaney, Andrew,571760,2022,31,72.2,.203,.373,.287,.276,.170,91.2,17.8,11,
Hutchison, Drew,571800,2022,31,105.1,.276,.460,.354,.347,.184,90.3,14.3,8.8,
Koch, Matt,571863,2022,31,4.1,.284,.546,.370,.321,.262,89,25.5,13.3,
Law, Derek,571882,2022,31,19.2,.274,.412,.336,.349,.138,84.7,7.6,9.2,
Loup, Aaron,571901,2022,34,58.2,.257,.385,.322,.343,.128,88,6.5,5.6,
Markel, Parker,571917,2022,31,3.0,.213,.426,.431,.516,.213,102.4,16.4,20,
Matz, Steven,571927,2022,31,48.0,.253,.377,.297,.297,.123,88.4,13.9,9.2,
Mikolas, Miles,571945,2022,33,202.1,.252,.400,.306,.294,.148,87.8,11,6.9,
Miller, Shelby,571946,2022,31,7.0,.177,.234,.215,.260,.056,90.3,23.5,0,
Milner, Hoby,571948,2022,31,64.2,.235,.343,.287,.296,.108,85.1,6.1,3.2,
Myers, Wil,571976,2022,31,3.2,.277,.636,.381,.305,.360,90.7,31.4,13.3,
Richards, Garrett,572070,2022,34,42.2,.258,.416,.324,.322,.158,89.3,8.7,7.5,
Selman, Sam,572125,2022,31,18.1,.218,.396,.297,.281,.178,88,17.2,7.8,
Taylor, Michael A.,572191,2022,31,2.0,.323,.615,.447,.427,.292,91.9,13.7,22.2,
Tepera, Ryan,572193,2022,34,57.1,.217,.349,.281,.292,.132,87.4,16.1,5.5,
VerHagen, Drew,572403,2022,31,21.2,.284,.488,.378,.385,.204,88.3,18.1,9.6,
