SSBB,MLBAM,NL,pos,h,age,team,firstName,lastName,1B,2B,3B,SS,OF,osbAL,ocsAL,osbNL,ocsNL,BAvR,OBvR,SLvR,BAvL,OBvL,SLvL
228,677961,1228,P,R,23,TB,Cole,Wilcox,,,,,,,,,,,,,,,
229,671737,1229,P,R,22,TB,Taj,Bradley,,,,,,,,,,,,,,,
230,,1230,P,L,22,TB,Mason,Montgomery,,,,,,,,,,,,,,,
231,656271,1231,SR,L,26,Tex,Brock,Burke,,,,,,,,,,,,,,,
232,605130,1232,SR,R,30,KC,Scott,Barlow,,,,,,,,,,,,,,,
233,622253,1233,SR,R,28,Bal,Dillon,Tate,,,,,,,,,,,,,,,
234,661403,1234,SR,R,25,Cle,Emmanuel,Clase,,,,,,,,,,,,,,,
235,643377,1235,SR,R,28,Min,Griffin,Jax,,,,,,,,,,,,,,,
236,605347,1236,SR,R,30,Min,Jorge,Lopez,,,,,,,,,,,,,,,
237,643256,1237,SR,R,32,Tor,Adam,Cimber,,,,,,,,,,,,,,,
238,542914,1238,SR,R,35,Tor,Anthony,Bass,,,,,,,,,,,,,,,
239,623474,1239,SR,R,29,LAA,Jimmy,Herget,,,,,,,,,,,,,,,
240,606160,1240,SR,R,32,Hou,Rafael,Montero,,,,,,,,,,,,,,,
241,669395,1241,SR,R,26,KC,Dylan,Coleman,,,,,,,,,,,,,,,
242,642758,1242,SR,R,28,Oak,Domingo,Acevedo,,,,,,,,,,,,,,,
243,661395,1243,SR,R,25,Min,Jhoan,Duran,,,,,,,,,,,,,,,
244,669212,1244,SR,R,26,Cle,Eli,Morgan,,,,,,,,,,,,,,,
245,640462,1245,SR,L,28,Oak,A.J.,Puk,,,,,,,,,,,,,,,
246,664208,1246,SR,R,30,Hou,Phil,Maton,,,,,,,,,,,,,,,
247,642585,1247,SR,R,27,Bal,Felix,Bautista,,,,,,,,,,,,,,,
248,593576,1248,SR,R,33,Hou,Hector,Neris,,,,,,,,,,,,,,,
249,608665,1249,SR,R,32,ChA,Kendall,Graveman,,,,,,,,,,,,,,,
250,670167,1250,SR,R,29,Bos,John,Schreiber,,,,,,,,,,,,,,,
251,662253,1251,SR,R,24,Sea,Andres,Munoz,,,,,,,,,,,,,,,
252,445276,1252,SR,R,35,Bos,Kenley,Jansen,,,,,,,,,,,,,,,
253,670950,1253,SR,R,29,Tor,Trevor,Richards,,,,,,,,,,,,,,,
254,623149,1254,SR,R,32,Sea,Paul,Sewald,,,,,,,,,,,,,,,
255,605447,1255,SR,R,30,Tor,Jordan,Romano,,,,,,,,,,,,,,,
256,605280,1256,SR,R,30,NYA,Clay,Holmes,,,,,,,,,,,,,,,
257,663986,1257,SR,R,27,Cle,Trevor,Stephan,,,,,,,,,,,,,,,
258,592094,1258,SR,R,31,TB,Jason,Adam,,,,,,,,,,,,,,,
259,656638,1259,SR,R,27,Det,Alex,Lange,,,,,,,,,,,,,,,
260,641941,1260,SR,R,31,Min,Emilio,Pagan,,,,,,,,,,,,,,,
261,518489,1261,SR,R,35,Bos,Ryan,Brasier,,,,,,,,,,,,,,,
262,656529,1262,SR,L,26,Cle,Sam,Hentges,,,,,,,,,,,,,,,
263,571710,1263,SR,R,32,Bal,Mychal,Givens,,,,,,,,,,,,,,,
264,554340,1264,SR,R,32,Tor,Yimi,Garcia,,,,,,,,,,,,,,,
265,614179,1265,SR,R,28,ChA,Jose,Ruiz,,,,,,,,,,,,,,,
266,650556,1266,SR,R,26,Hou,Bryan,Abreu,,,,,,,,,,,,,,,
267,671345,1267,SR,R,27,Det,Jason,Foley,,,,,,,,,,,,,,,
268,573204,1268,SR,L,36,Min,Caleb,Thielbar,,,,,,,,,,,,,,,
269,571901,1269,SR,L,35,LAA,Aaron,Loup,,,,,,,,,,,,,,,
270,621363,1270,SR,L,29,TB,Colin,Poche,,,,,,,,,,,,,,,
271,518617,1271,SR,L,36,ChA,Jake,Diekman,,,,,,,,,,,,,,,
272,672335,1272,SR,L,27,Bal,Cionel,Perez,,,,,,,,,,,,,,,
273,607216,1273,SR,R,30,Bal,Joey,Krehbiel,,,,,,,,,,,,,,,
274,572193,1274,SR,R,35,LAA,Ryan,Tepera,,,,,,,,,,,,,,,
275,608032,1275,SR,R,30,LAA,Carlos,Estevez,,,,,,,,,,,,,,,
276,593974,1276,SR,L,31,NYA,Wandy,Peralta,,,,,,,,,,,,,,,
277,455119,1277,SR,R,36,Bos,Chris,Martin,,,,,,,,,,,,,,,
278,592773,1278,SR,R,31,Hou,Ryne,Stanek,,,,,,,,,,,,,,,
279,650895,1279,SR,R,29,Sea,Diego,Castillo(Sea),,,,,,,,,,,,,,,
280,670036,1280,SR,R,30,Sea,Matt,Festa,,,,,,,,,,,,,,,
281,642152,1281,SR,R,31,NYA,Lou,Trivino,,,,,,,,,,,,,,,
282,657024,1282,SR,R,29,Tor,Erik,Swanson,,,,,,,,,,,,,,,
283,660853,1283,SR,R,27,Cle,Enyel,DeLosSantos,,,,,,,,,,,,,,,
284,621383,1284,SR,L,31,ChA,Tanner,Banks,,,,,,,,,,,,,,,
285,667463,1285,SR,L,28,Tex,John,King,,,,,,,,,,,,,,,
286,570257,1286,SR,L,31,Bos,Joely,Rodriguez,,,,,,,,,,,,,,,
287,664199,1287,SR,R,29,KC,Taylor,Clarke,,,,,,,,,,,,,,,
288,641835,1288,SR,L,31,Tor,Tim,Mayza,,,,,,,,,,,,,,,
289,519151,1289,SR,R,34,Hou,Ryan,Pressly,,,,,,,,,,,,,,,
290,642528,1290,SR,R,28,NYA,Jonathan,Loaisiga,,,,,,,,,,,,,,,
291,667427,1291,SR,R,28,Oak,Zach,Jackson,,,,,,,,,,,,,,,
292,600917,1292,SR,R,29,Tex,Jose,Leclerc,,,,,,,,,,,,,,,
293,641627,1293,SR,R,30,Sea,Trevor,Gott,,,,,,,,,,,,,,,
294,607237,1294,SR,L,30,KC,Amir,Garrett,,,,,,,,,,,,,,,
295,641582,1295,SR,R,28,ChA,Matt,Foster,,,,,,,,,,,,,,,
296,656730,1296,SR,R,29,Min,Trevor,Megill,,,,,,,,,,,,,,,
297,669912,1297,SR,L,28,Oak,Kirby,Snead,,,,,,,,,,,,,,,
298,680704,1298,SR,R,26,Cle,Nick,Sandlin,,,,,,,,,,,,,,,
299,676760,1299,SR,R,27,NYA,Ron,Marinaccio,,,,,,,,,,,,,,,
300,594580,1300,SR,L,31,Oak,Sam,Moll,,,,,,,,,,,,,,,
301,657044,1301,SR,R,30,TB,Ryan,Thompson,,,,,,,,,,,,,,,
302,650671,1302,SR,L,27,LAA,Jose,Quijada,,,,,,,,,,,,,,,
303,663558,1303,SR,L,26,Min,Jovani,Moran,,,,,,,,,,,,,,,
304,598264,1304,SR,R,32,Bos,Matt,Barnes,,,,,,,,,,,,,,,
305,675916,1305,SR,R,27,Cle,James,Karinchak,,,,,,,,,,,,,,,
306,647315,1306,SR,R,26,Tor,Zach,Pop,,,,,,,,,,,,,,,
307,656061,1307,SR,R,27,NYA,Albert,Abreu,,,,,,,,,,,,,,,
308,661527,1308,SR,R,28,Hou,Seth,Martinez,,,,,,,,,,,,,,,
309,606625,1309,SR,R,30,Tex,Reyes,Moronta,,,,,,,,,,,,,,,
310,622251,1310,SR,R,29,KC,Josh,Staumont,,,,,,,,,,,,,,,
311,621016,1311,SR,R,28,KC,Jose,Cuas,,,,,,,,,,,,,,,
312,523260,1312,SR,R,34,ChA,Joe,Kelly,,,,,,,,,,,,,,,
313,547973,1313,SR,L,35,KC,Aroldis,Chapman,,,,,,,,,,,,,,,
314,669618,1314,SR,R,27,Tex,Joe,Barlow,,,,,,,,,,,,,,,
315,666204,1315,SR,R,29,Oak,Dany,Jimenez,,,,,,,,,,,,,,,
